"Title","Event Code","Event Rank","Attendance Record","Start Date","End Date","Region","Location","Event Type","Event Location: Street","Event Location: City","Event Location: State","Event Location: Country/Region","Venue","Event Website","Booth Size","Booth%23","Status","Sector","Organizing Company","Business Lines","Show Captain","Ship By Date","Registration Deadline","Mockups/Models","Action Status","Main Event Subject","Notes","Related Documents","Days until Start","Staff_Assigned","Email Header"
"ION ITM PTTI 2026","ITM26",,"Existing","1/26/2026","1/29/2026","USA","Known","[""Exhibition""]","11999HarborBlvd","Anaheim","CA","USA","HyattRegency Orange County","https://www.ion.org/itm/exhibitor-resource-center.cfm","10 x 10",,"Planning","GCI","ST4D ","[""STT"",""ST4D""]","CAMERON",,,"[""White Rabbit Z-16"",""AJ Antennae"",""Secure Sync""]","Interest confirmed, Participants/products TBC +  ","Precision timing, PNT, Time transfer, synchronization, atomic clocks","Requested by : Jérôme Auger <jerome.auger@nav-timing.safrangroup.com>
BL: STT CLocks
Topic : Launch of MIRA Plan
Action : Participants TBC + budget allocation ",,"-25","Cameron Chambers","Reserved_ImageAttachment_[11]_[EmailHeader][32]_[be18a6965aae4b8892cf1d240e45f419][4]_[1925].png"
"NEW: 2026 NEXT CONFERENCE","NEXT26",,"NEW","2/2/2026","2/4/2026","USA","Known","[""Exhibition""]","407N.VirginiaSt","Reno","NV","USA","SilverLegacyResort Casino","https://next.touchstoneenergy.com/sponsorships","10 x 10",,"Planning","GCI","ST4D","[""ST4D""]","CAMERON",,,,"Exbhition acceptance TBC + Budget allocation TBC
Warning : new event request directly as exhibitor","Emerging technologies across AI, cloud, mobility & infrastructure","Requested by : Jaime Jaramillo <jaime.jaramillo@nav-timing.safrangroup.com>
BL: ST4D Timing (US)
Topic : Business Devlopment (Open Timing)
Action : Check Out booth Availability & Pricing - walking or exhibition TBC
Warning : new event request directly as exhibitor",,"-18","Cameron Chambers;Jaime Jaramillo","Reserved_ImageAttachment_[11]_[EmailHeader][32]_[4469849fc7c74fbdad65f4e5348628cb][4]_[2308].png"
"NEW: Welcome to the 2026 Utilities Technology Forum Regions","UTF26",,"NEW","2/8/2026","2/11/2026","USA","Known","[""Walking""]","801AllenY.LewPlaceNW","Washington","DC","USA","WalterE.Washington Convention Center","https://utc.org/event/",,,"Planning","GCI","ST4D","[""ST4D""]","CAMERON",,,,"If participation confirmed, entrance to be taking care by the sales","Utility communications timing
Critical-infrastructure PNT","Requested by : Jaime Jaramillo
BL: R&T
Topic : 
Action :",,"-12","Cameron Chambers;Jaime Jaramillo",
"NEW: PowerXchange and TechAdvantage","PXT26",,"NEW","3/8/2026","3/11/2026","USA","Known","[""Exhibition""]","201 Rep. John Lewis Way S","Nashville","TN","USA","Music City Center","https://www.cooperative.com/conferences-education/meetings/techadvantage/Pages/default.aspx","10 x 10",,"Planning","GCI","ST4D","[""ST4D""]","CAMERON",,,,"Interest + budget participants + products TBC
Warning : new event directly request as exhibitor","Utility timing & synchronization, Grid resilience / GNSS-resilient PNT","Requested by : Jaime 
BL: 
Topic : 
Action : 
Warning : new event directly request as exhibitor ",,"15","Cameron Chambers;Jaime Jaramillo","Reserved_ImageAttachment_[11]_[EmailHeader][32]_[7852cb0b6fb44322b7f7a5c1664c6ecd][4]_[5636].png"
"VERTICON 2026
(Former HAI)","VERT26",,"Existing","3/10/2026","3/12/2026","USA","Known","[""Exhibition""]","2015thAveS","Atlanta","GA","USA","Georgia World 
Congress Center","https://verticon.org/",,,"Planning","ADG","SHE","[""SDSI"",""SHE""]","CAMERON",,,,"Participants + Products TBC","Vertical aviation solutions & rotorcraft systems","Requested by :
BL: 
Topic : 
Action : ",,"17","Cameron Chambers;Pierre Desjardins",
"SATSHOW WEEK 2026
(Former SATELLITE)","SAT26",,"Existing","3/23/2026","3/26/2026","USA","Known","[""Exhibition""]","801 Allen Y Lew Pl NW","Washington","DC","USA","Walter E. Washington Convention Center","https://www.satshow.com/","20 x 10",,"Planning","ADG","ST4D","[""ST4D""]","CAMERON",,,,"Interest + budget confirmed, Participants /products TBC","Satellite communications, space networking, synchronization for satcom","Requested by : Tanner Cheek <Tanner.Cheek@nav-timing.safrangroup.com>
BL: ST4D Timing (US)
Topic : Business Devlopment for Space / New Space
Action : Check Out booth Availability & Pricing",,"30","Cameron Chambers;Pierre Desjardins;Scott McAvoy","Reserved_ImageAttachment_[11]_[EmailHeader][32]_[319f4fbe1af848e9b31ccc1e4e09970b][4]_[2023].png"
"SPACE SYMPOSIUM 2026 ","SPACE26",,"Existing","4/13/2026","4/16/2026","USA","Known","[""Exhibition""]","1 Lake Ave","Colorado Springs","CO","The Broadmoor Hotel",,"Space Symposium - April 13th - 16th, 2026",,,"Planning","ADG","SED Space  ","[""SED Space"",""ST4D""]","CAMERON",,,,"Waiting for SDS return ","Space event","Requested by : INS
BL:
Topic : Business Devlopment 
Action : Space division confirmed if participation 04.11.25",,"51","Cameron Chambers;Pierre Desjardins;Marco Ventresca;Scott McAvoy",
"SEA AIR SPACE 2026","SAS26",,"Existing","4/19/2026","4/22/2026","USA","Known","[""Walking""]","201 Waterfront St","NationalHarbor","MD","USA","Gaylord National Resort & Convention Center","https://seaairspace.org/",,,"Planning","ADG","SDSI","[""SDSI""]","ALYSSA",,,,"Wait for SFS return ",,"Requested by : MARY Xavier (SAFRAN ELECTRONICS & DEFENSE) <xavier.mary@safrangroup.com> 
BL: NAV
Topic : INS promotion 
Action : Check Out with milena.grosshans-larranaga@safrangroup.com if it still still possible to attend and pricing required to have products nd people at the booth",,"57","Scott McAvoy",
"OTC 2026","OTC26",,"Existing","5/4/2026","5/7/2026","USA","Known","[""Walking""]","1NRGPark","Houston","TX","USA","NRG Center","https://www.fbcconferences.com/event.aspx/Q6UJ9A020MM5",,,"Planning","GCI","SSTS",,"CAMERON",,,,"If participation confirmed, entrance to be taking care by sales","Maritime robotics, positioning, timing, and navigation","Requested by : 
BL: 
Topic : Business Devlopment (Open Timing)
Action : N/A",,"72","Cameron Chambers;Pierre Desjardins",
"NEW: NLIT 2026","NLIT26",,"NEW","5/4/2026","5/7/2026","USA","Known","[""Walking""]","301 W 13th St","KansasCity","MO","USA","KansasCity Convention Center","https://www.fbcconferences.com/event.aspx/Q6UJ9A020MM5",,,"Planning","GCI","ST4D","[""ST4D""]","CAMERON",,,,"If participation confirmed, entrance to be taking care by sales","Data management, HPC, and scientific computing systems","Requested by : Jaime Jaramillo <jaime.jaramillo@nav-timing.safrangroup.com>
BL: ST4D Timing (US)
Topic : Business Devlopment (Open Timing)
Action : N/A",,"72",,
